time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/learning_rate,train/loss
1289,84,22,342.35714285714283,-59.08462201190477,0.01,28758,7164,0.001,0.528362512588501
1302,88,23,341.5681818181818,-64.88698263636364,0.01,30058,7489,0.001,2.3586649894714355
1326,92,25,361.8152173913044,-66.26192313043478,0.01,33287,8296,0.001,0.6372255086898804
1358,96,27,388.40625,-67.42720376041666,0.01,37287,9296,0.001,0.5264937281608582
1286,100,32,412.87,-67.34490799,0.01,41287,10296,0.001,0.2823134958744049
1323,104,34,449.53,-65.11538102,0.01,45287,11296,0.001,0.29884788393974304
1340,108,35,468.67,-59.545273910000006,0.01,47683,11895,0.001,0.32407042384147644
1297,112,39,501.73,-50.67965641000001,0.01,51405,12826,0.001,1.1201926469802856
1263,116,43,537.4,-47.39251407000002,0.01,55405,13826,0.001,0.4087068438529968
1296,120,45,573.01,-44.29914002999999,0.01,59405,14826,0.001,0.162470743060112
1325,124,47,606.27,-44.05150544,0.01,63405,15826,0.001,0.16286559402942657
1345,128,49,626.87,-46.15385248,0.01,66117,16504,0.001,0.193386971950531
1373,132,51,660.34,-45.376454519999996,0.01,70117,17504,0.001,0.18614625930786133
1398,136,52,685.29,-49.08739626999999,0.01,74117,18504,0.001,0.9408606290817261
1422,140,54,713.06,-49.83410627999999,0.01,78117,19504,0.001,0.15377765893936157
1441,144,56,731.63,-49.642658850000004,0.01,81636,20383,0.001,0.1665744036436081
1461,148,58,752.14,-57.63548962,0.01,85636,21383,0.001,0.10458160191774368
1477,152,60,752.14,-58.65520665,0.01,89636,22383,0.001,0.2027307003736496
1495,156,62,759.21,-63.652423799999994,0.01,93636,23383,0.001,0.2575969398021698
1455,160,67,764.32,-67.82621825000001,0.01,97636,24383,0.001,0.16281194984912872
1410,164,72,787.99,-71.20914576,0.01,101636,25383,0.001,0.1327701061964035
1369,168,77,811.0,-69.10824403000001,0.01,105636,26383,0.001,0.06712979078292847
1379,172,79,841.41,-63.445790699999996,0.01,109636,27383,0.001,0.06368743628263474
1393,176,81,869.09,-56.26079494999999,0.01,113167,28266,0.001,0.18290290236473083
1406,180,83,900.31,-53.75487573,0.01,117167,29266,0.001,0.15733173489570618
1419,184,85,924.09,-51.61516052000001,0.01,121167,30266,0.001,0.08578663319349289
1431,188,87,951.09,-46.21954582,0.01,125167,31266,0.001,0.08306169509887695
1444,192,89,958.8,-43.54208791,0.01,129167,32266,0.001,0.07577739655971527
1456,196,91,958.8,-41.626521090000004,0.01,133167,33266,0.001,0.10687911510467529
1469,200,93,958.8,-40.4948118,0.01,137167,34266,0.001,0.06612493842840195
1479,204,95,953.53,-34.50280409,0.01,140640,35134,0.001,0.12241800129413605
1488,208,96,963.57,-32.54280178,0.01,144040,35984,0.001,0.1295403093099594
1500,212,98,966.35,-35.3699701,0.01,148040,36984,0.001,0.12385427951812744
1481,216,102,963.88,-32.31915307,0.01,151793,37923,0.001,0.06620435416698456
1492,220,104,963.88,-32.088646759999996,0.01,155793,38923,0.001,0.09429129958152771
1500,224,106,963.88,-31.37010703,0.01,159793,39923,0.001,0.0734616369009018
1508,228,108,968.35,-28.03525906,0.01,162952,40712,0.001,2.3546853065490723
1513,232,109,961.81,-27.380893469999997,0.01,166298,41549,0.001,0.053331270813941956
1518,236,112,961.24,-25.532079509999996,0.01,170241,42535,0.001,0.047180335968732834
1491,240,116,961.24,-27.089561249999996,0.01,174241,43535,0.001,0.6352135539054871
1474,244,120,959.0,-26.051897249999996,0.01,177536,44358,0.001,0.13440649211406708
1459,248,123,948.5,-21.084999109999995,0.01,180486,45096,0.001,0.1759270876646042
1438,252,127,945.19,-18.96689728,0.01,184155,46013,0.001,0.13325998187065125
1442,256,130,945.19,-18.61892195,0.01,188155,47013,0.001,0.18479567766189575
1445,260,132,936.94,-12.54571581,0.01,191330,47807,0.001,0.09313724935054779
1450,264,134,934.71,-11.375746759999997,0.01,195107,48751,0.001,0.10020415484905243
1455,268,136,934.71,-10.808564449999999,0.01,199107,49751,0.001,0.5273721814155579
1451,272,139,934.37,-10.56453383,0.01,203073,50743,0.001,0.128988578915596
1443,276,143,939.06,-14.274620339999998,0.01,207073,51743,0.001,0.09795118868350983
1436,280,146,939.06,-13.7557215,0.01,211073,52743,0.001,0.12138387560844421
1440,284,149,935.1,-12.95207592,0.01,214677,53644,0.001,0.08298799395561218
1444,288,151,930.3,-10.425439509999999,0.01,218197,54524,0.001,0.20906315743923187
