rollout/ep_len_mean,train/value_loss,train/n_updates,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/policy_loss,time/time_elapsed,train/entropy_loss,time/fps
221.7,0.30428582429885864,25299,126500,25300,-31.198083050000005,0.0007,0.995003342628479,0.3045682907104492,134,-0.6596173644065857,937
225.08,1.8410003185272217,25399,127000,25400,-30.682103550000008,0.0007,0.8979337811470032,0.12369517982006073,135,-0.3718869686126709,938
227.72,0.7100211381912231,25499,127500,25500,-30.141358960000005,0.0007,0.9341340065002441,-0.1462840437889099,135,-0.7350206971168518,939
232.66,38.853919982910156,25599,128000,25600,-27.480655750000004,0.0007,-0.15356123447418213,0.04488826543092728,136,-0.14810672402381897,940
234.79,1.7596435546875,25699,128500,25700,-27.27783895,0.0007,0.9501127004623413,-1.1890699863433838,136,-0.4179724156856537,941
239.94,3.1143202781677246,25799,129000,25800,-25.520311019999998,0.0007,0.7823273539543152,-0.11506712436676025,136,-0.5036661028862,942
244.28,32.801727294921875,25899,129500,25900,-26.01265015,0.0007,0.7253051996231079,0.26194140315055847,137,-0.19225242733955383,943
245.45,1.4588123559951782,25999,130000,26000,-25.98974735,0.0007,0.9134420156478882,0.006417968776077032,137,-0.6698042750358582,943
251.46,2.3315157890319824,26099,130500,26100,-24.111341049999996,0.0007,0.7348685264587402,0.05778764933347702,138,-0.6489062309265137,944
251.46,0.6924570202827454,26199,131000,26200,-24.111341049999996,0.0007,-0.907860279083252,0.04685816168785095,138,-0.3816543519496918,945
260.69,3.9685006141662598,26299,131500,26300,-24.717339859999996,0.0007,0.7784357070922852,-0.21735253930091858,138,-0.3811742663383484,946
260.69,2.7720699310302734,26399,132000,26400,-24.717339859999996,0.0007,-0.7477575540542603,-0.34119611978530884,139,-0.6116510629653931,947
269.79,0.34637919068336487,26499,132500,26500,-24.076118259999998,0.0007,0.8222250938415527,-0.04785444587469101,139,-0.838329017162323,948
269.79,2.1391098499298096,26599,133000,26600,-24.076118259999998,0.0007,-0.27215659618377686,-0.16790886223316193,140,-0.2041720598936081,945
278.96,11.027154922485352,26699,133500,26700,-24.93307291,0.0007,0.43352431058883667,0.19494958221912384,141,-0.5034317970275879,946
284.11,25.94917869567871,26799,134000,26800,-24.827986920000008,0.0007,-91.1421127319336,-0.9110638499259949,141,-0.0822615996003151,947
284.11,0.46968111395835876,26899,134500,26900,-24.827986920000008,0.0007,0.9188309907913208,-0.18195417523384094,141,-0.6375168561935425,948
