time/total_timesteps,train/policy_loss,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,train/value_loss,time/iterations
26000,-1.4984220266342163,5199,-0.39728468656539917,216.29,0.27193135023117065,0.0007,1021,25,216.29,16.6713809967041,5200
26500,2.339095115661621,5299,-0.43582478165626526,210.56,-1.4334197044372559,0.0007,1027,25,210.56,33.766136169433594,5300
27000,0.24663765728473663,5399,-0.3644999563694,210.75,-8.772687911987305,0.0007,1032,26,210.75,0.7693647146224976,5400
27500,0.029038334265351295,5499,-0.34919852018356323,214.87,-7.807975769042969,0.0007,1038,26,214.87,0.0036744452081620693,5500
28000,-0.010638916864991188,5599,-0.3844965100288391,205.53,0.39345425367355347,0.0007,1044,26,205.53,0.0010144234402105212,5600
28500,-20.444805145263672,5699,-0.3983538746833801,121.23,-0.014054059982299805,0.0007,1049,27,121.23,9734.712890625,5700
29000,0.002035630401223898,5799,-0.3443830907344818,35.38,-41.10159683227539,0.0007,1054,27,35.38,0.007303651422262192,5800
29500,-22.711509704589844,5899,-0.24643158912658691,11.55,-0.0028281211853027344,0.0007,1052,28,11.55,3880.95263671875,5900
30000,0.006824184209108353,5999,-0.49837636947631836,12.26,-3.373652935028076,0.0007,1039,28,12.26,0.0002041347324848175,6000
30500,-23.249767303466797,6099,-0.3264243006706238,14.27,-0.001814126968383789,0.0007,1043,29,14.27,7540.2275390625,6100
31000,-30.908123016357422,6199,-0.37573114037513733,15.64,-0.0011935234069824219,0.0007,1048,29,15.64,7518.86474609375,6200
31500,0.001733716344460845,6299,-0.5141956210136414,18.48,-0.07453334331512451,0.0007,1053,29,18.48,9.526428584649693e-06,6300
32000,0.0011312561109662056,6399,-0.330188125371933,22.88,-0.013196825981140137,0.0007,1057,30,22.88,2.0561390101647703e-06,6400
32500,0.0003639117639977485,6499,-0.5983381271362305,27.64,-0.021652579307556152,0.0007,1060,30,27.64,6.906455496391573e-07,6500
33000,0.004227240104228258,6599,-0.5189223885536194,31.38,-0.03124690055847168,0.0007,1047,31,31.38,7.872760761529207e-05,6600
33500,0.003992859739810228,6699,-0.5955815315246582,35.47,-0.051879048347473145,0.0007,1035,32,35.47,0.00012266350677236915,6700
34000,0.0016612630570307374,6799,-0.4400281012058258,39.56,-0.0930337905883789,0.0007,1024,33,39.56,6.4450200625287835e-06,6800
34500,0.0010068663395941257,6899,-0.48605290055274963,43.64,0.612006664276123,0.0007,1014,34,43.64,3.4134602628910216e-06,6900
35000,0.0008380416547879577,6999,-0.5892778038978577,46.79,0.09030425548553467,0.0007,1012,34,46.79,4.5952156142448075e-06,7000
35500,0.0010766532504931092,7099,-0.4677746295928955,51.48,-0.07750844955444336,0.0007,1016,34,51.48,1.4229584849090315e-05,7100
36000,0.0013806462520733476,7199,-0.5256969928741455,54.98,0.006821274757385254,0.0007,1008,35,54.98,3.3114465622929856e-05,7200
36500,0.0013752508675679564,7299,-0.4364714026451111,58.9,0.24033528566360474,0.0007,1001,36,58.9,3.815942818619078e-06,7300
37000,0.0005278124008327723,7399,-0.5584478378295898,63.06,-0.07820141315460205,0.0007,993,37,63.06,3.1292554467654554e-06,7400
37500,0.0003401499998290092,7499,-0.45260459184646606,67.23,0.6208487153053284,0.0007,997,37,67.23,3.388966547390737e-07,7500
38000,8.948824688559398e-05,7599,-0.5742554068565369,72.23,-30.1648006439209,0.0007,1002,37,72.23,1.765321968605349e-07,7600
38500,0.00037158565828576684,7699,-0.546894907951355,74.88,-1.042621374130249,0.0007,1006,38,74.88,6.968504635551653e-07,7700
39000,-0.0003989551623817533,7799,-0.6462435722351074,79.23,-22.164705276489258,0.0007,1009,38,79.23,8.614850344201841e-07,7800
39500,-1.5386362065328285e-05,7899,-0.5909180641174316,83.95,-11539.5205078125,0.0007,1014,38,83.95,1.3486366015058593e-06,7900
40000,0.001895755180157721,7999,-0.3731737434864044,89.42,-1.569077968597412,0.0007,1018,39,89.42,4.940338112646714e-05,8000
40500,0.001600421965122223,8099,-0.4185482859611511,92.89,-22.79139518737793,0.0007,1021,39,92.89,7.719371751591098e-06,8100
41000,-0.0006639014463871717,8199,-0.5789063572883606,87.38,0.35720568895339966,0.0007,1025,39,87.38,1.4267279766499996e-06,8200
41500,0.0012761459220200777,8299,-0.46107736229896545,88.38,-35.92818069458008,0.0007,1028,40,88.38,2.9960961910546757e-05,8300
42000,0.0013011634582653642,8399,-0.5040794610977173,91.32,0.3966342806816101,0.0007,1032,40,91.32,1.5635927411494777e-05,8400
42500,0.001492269104346633,8499,-0.36010608077049255,93.02,-0.3777785301208496,0.0007,1036,40,93.02,8.439307748631109e-06,8500
43000,0.002498059766367078,8599,-0.4249734878540039,91.35,0.04205423593521118,0.0007,1041,41,91.35,5.5124179198173806e-05,8600
43500,0.004077867139130831,8699,-0.4485493302345276,87.51,-0.04952645301818848,0.0007,1043,41,87.51,0.0002845341805368662,8700
44000,-0.01455630548298359,8799,-0.46233120560646057,82.48,0.32850420475006104,0.0007,1038,42,82.48,0.003960495349019766,8800
44500,-19.90754508972168,8899,-0.35378894209861755,77.57,0.03139805793762207,0.0007,1031,43,77.57,6784.0576171875,8900
45000,0.021597210317850113,8999,-0.5365893840789795,75.12,0.27365899085998535,0.0007,1024,43,75.12,0.00735073396936059,9000
45500,0.005280816461890936,9099,-0.4961604177951813,74.51,0.704641580581665,0.0007,1025,44,74.51,0.0002601903397589922,9100
46000,0.0026819235645234585,9199,-0.5287891030311584,75.81,0.07465600967407227,0.0007,1023,44,75.81,0.00011297590390313417,9200
46500,-0.0003313736233394593,9299,-0.2942942678928375,77.99,0.7599043846130371,0.0007,1016,45,77.99,7.702072252868675e-06,9300
47000,0.0002989519271068275,9399,-0.48270320892333984,76.65,-1.8830327987670898,0.0007,1008,46,76.65,5.9014582802774385e-05,9400
47500,-0.41262784600257874,9499,-0.42878279089927673,76.03,-17.404691696166992,0.0007,1001,47,76.03,6.044713497161865,9500
48000,0.005560056306421757,9599,-0.28435665369033813,73.79,0.7994146943092346,0.0007,994,48,73.79,0.02220430038869381,9600
48500,-0.4099527895450592,9699,-0.32644224166870117,70.75,0.8651198148727417,0.0007,997,48,70.75,1.2875181436538696,9700
49000,0.33326292037963867,9799,-0.3652209937572479,64.94,0.8414474725723267,0.0007,1000,48,64.94,2.658418655395508,9800
49500,-0.663300096988678,9899,-0.30267128348350525,64.13,0.7901849746704102,0.0007,1003,49,64.13,1.4531192779541016,9900
50000,0.18545572459697723,9999,-0.2660863995552063,64.72,0.9218006730079651,0.0007,1006,49,64.72,0.1364172250032425,10000
50500,-0.11544620990753174,10099,-0.491655170917511,66.31,0.8034371137619019,0.0007,1008,50,66.31,0.1035553365945816,10100
51000,1.2245821952819824,10199,-0.36737629771232605,70.71,0.9315817356109619,0.0007,1011,50,70.71,2.166315793991089,10200
51500,-0.6322435140609741,10299,-0.26868104934692383,74.97,0.5947748422622681,0.0007,1005,51,74.97,1.2671064138412476,10300
52000,0.41047731041908264,10399,-0.4029114246368408,78.57,-2.039193868637085,0.0007,1007,51,78.57,1.0637198686599731,10400
52500,-0.006032365374267101,10499,-0.38477623462677,83.23,0.9927817583084106,0.0007,1001,52,83.23,0.005238762591034174,10500
