rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss
1531.43,282,1015,6656,287248,0.01,9.83,17327,0.0001,0.0203010905534029
1555.35,287,1014,6720,291992,0.01,9.99,17624,0.0001,0.023572128266096115
1520.7,292,1014,6784,296684,0.01,9.28,17917,0.0001,0.007848875597119331
1566.68,297,1013,6848,301448,0.01,9.71,18215,0.0001,0.014666471630334854
1586.08,301,1013,6912,305640,0.01,9.88,18477,0.0001,0.003920908086001873
1633.76,307,1012,6976,311292,0.01,10.13,18830,0.0001,0.0053649479523301125
1615.2,312,1011,7040,315872,0.01,10.51,19116,0.0001,0.004289882257580757
1620.52,317,1011,7104,321188,0.01,11.17,19449,0.0001,0.011421900242567062
1599.25,323,1011,7168,326696,0.01,11.31,19793,0.0001,0.010407115332782269
1615.81,328,1010,7232,331624,0.01,11.49,20101,0.0001,0.007739736698567867
1619.39,332,1009,7296,335808,0.01,11.78,20362,0.0001,0.004588043317198753
1595.83,337,1009,7360,340384,0.01,12.31,20648,0.0001,0.0053591374307870865
1577.09,341,1008,7424,344224,0.01,12.06,20888,0.0001,0.005072358064353466
1542.38,345,1008,7488,348904,0.01,11.31,21181,0.0001,0.01756024919450283
1516.35,350,1008,7552,353384,0.01,10.62,21461,0.0001,0.004470325540751219
1482.03,354,1007,7616,357560,0.01,10.27,21722,0.0001,0.004758791998028755
1475.9,359,1007,7680,362668,0.01,10.21,22041,0.0001,0.016753196716308594
1480.2,364,1007,7744,367752,0.01,10.53,22359,0.0001,0.006428915075957775
1532.4,370,1007,7808,373436,0.01,10.98,22714,0.0001,0.0027598640881478786
1550.99,375,1006,7872,377892,0.01,10.68,22993,0.0001,0.006641944404691458
1622.14,381,1006,7936,383908,0.01,11.72,23369,0.0001,0.0040239738300442696
1616.26,386,1006,8000,388776,0.01,11.67,23673,0.0001,0.004882046952843666
1642.26,390,1006,8064,393312,0.01,11.8,23956,0.0001,0.024391550570726395
1665.6,396,1005,8128,398376,0.01,12.17,24273,0.0001,0.010765507817268372
1661.04,401,1005,8192,403536,0.01,12.15,24595,0.0001,0.01024895440787077
1662.85,406,1005,8256,408732,0.01,12.62,24920,0.0001,0.005582715384662151
1648.23,411,1005,8320,413972,0.01,12.43,25248,0.0001,0.0052332086488604546
1664.01,416,1004,8384,418700,0.01,11.94,25543,0.0001,0.003139837644994259
1615.09,422,1002,8448,423596,0.01,11.31,25849,0.0001,0.00878569670021534
1659.21,428,1001,8512,429288,0.01,12.06,26205,0.0001,0.004955706186592579
1712.29,434,1000,8576,435360,0.01,13.17,26584,0.0001,0.026277676224708557
1704.02,439,1000,8640,440156,0.01,13.15,26884,0.0001,0.0034319006372243166
1733.34,446,1000,8704,446520,0.01,13.35,27282,0.0001,0.006857899948954582
1771.93,452,999,8768,452216,0.01,13.09,27638,0.0001,0.005289256572723389
1811.33,458,999,8832,458124,0.01,15.61,28007,0.0001,0.004475884139537811
1864.06,464,999,8896,464328,0.01,16.34,28395,0.0001,0.012471681460738182
1915.01,471,998,8960,470644,0.01,16.45,28790,0.0001,0.007045884151011705
1878.46,476,998,9024,475948,0.01,15.84,29121,0.0001,0.01062299869954586
1857.01,482,997,9088,481180,0.01,14.52,29448,0.0001,0.004688031040132046
1875.05,487,997,9152,486716,0.01,15.18,29794,0.0001,0.01919449493288994
1868.31,494,997,9216,493108,0.01,14.97,30194,0.0001,0.021238867193460464
1958.04,502,996,9280,500656,0.01,17.05,30665,0.0001,0.00840786937624216
1959.03,508,996,9344,506836,0.01,15.2,31052,0.0001,0.005194254219532013
1956.74,515,995,9408,513040,0.01,15.58,31439,0.0001,0.002233477309346199
2001.45,522,995,9472,520384,0.01,16.56,31898,0.0001,0.012240535579621792
2042.1,528,995,9536,526524,0.01,17.18,32282,0.0001,0.10882677882909775
2088.65,535,995,9600,532872,0.01,17.43,32679,0.0001,0.008380727842450142
2116.9,542,995,9664,539388,0.01,17.45,33086,0.0001,0.01874924823641777
2079.22,547,994,9728,544756,0.01,16.58,33422,0.0001,0.005321783013641834
2077.25,554,994,9792,551872,0.01,16.02,33866,0.0001,0.010551169514656067
2088.12,561,994,9856,558796,0.01,16.45,34299,0.0001,0.006100325845181942
