train/value_loss,time/fps,train/entropy_loss,train/learning_rate,time/time_elapsed,train/policy_loss,time/iterations,train/explained_variance,time/total_timesteps,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean
1.0011718121205604e-09,3117,-0.4599838852882385,0.0007,5,4.602150056598475e-06,3400,-3.679999351501465,17000,134.66,3399,134.66
0.0,3120,-0.5288732051849365,0.0007,5,-0.0,3500,nan,17500,139.49,3499,139.49
3.3993274861643386e-09,3122,-0.46892744302749634,0.0007,5,-3.1204690458253026e-05,3600,-1.4888887405395508,18000,144.07,3599,144.07
3.3411895401513902e-06,3123,-0.5448654890060425,0.0007,5,0.0004356754070613533,3700,-0.0056610107421875,18500,148.19,3699,148.19
3.080349486594969e-08,3124,-0.36613649129867554,0.0007,6,-5.494966171681881e-05,3800,-0.02807772159576416,19000,152.94,3799,152.94
1.141917920222113e-07,3125,-0.46006250381469727,0.0007,6,0.00014449207810685039,3900,0.21693438291549683,19500,157.2,3899,157.2
4.048924751032246e-08,3127,-0.5257493853569031,0.0007,6,-2.2484402506961487e-05,4000,-4.009523868560791,20000,161.36,3999,161.36
3.2763927038104157e-07,3129,-0.5247620940208435,0.0007,6,-0.0001015611705952324,4100,-11.373750686645508,20500,164.12,4099,164.12
0.0002126050676451996,3130,-0.4137248992919922,0.0007,6,0.00635085254907608,4200,0.014416337013244629,21000,168.5,4199,168.5
0.0005279857432469726,3130,-0.3138146996498108,0.0007,6,0.010634392499923706,4300,-0.026244759559631348,21500,171.58,4299,171.58
0.0004122094833292067,3132,-0.28267917037010193,0.0007,7,0.015406282618641853,4400,0.48244839906692505,22000,173.69,4399,173.69
84.54853820800781,3133,-0.40481919050216675,0.0007,7,-7.170741081237793,4500,-184.26356506347656,22500,175.66,4499,175.66
143.09652709960938,3133,-0.3989499509334564,0.0007,7,-4.510031223297119,4600,-45.23074722290039,23000,178.33,4599,178.33
73.51611328125,3132,-0.3725527822971344,0.0007,7,-4.441380500793457,4700,-2.4350132942199707,23500,179.51,4699,179.51
104.80805969238281,3132,-0.27730271220207214,0.0007,7,-2.351804256439209,4800,-7.917157173156738,24000,179.94,4799,179.94
6.713076114654541,3134,-0.512985110282898,0.0007,7,1.1418832540512085,4900,0.6305376887321472,24500,179.41,4899,179.41
1.3261879682540894,3134,-0.3850983679294586,0.0007,7,-0.5672962069511414,5000,0.651343822479248,25000,180.41,4999,180.41
0.553987979888916,3136,-0.48242276906967163,0.0007,8,0.13416944444179535,5100,-55.9405632019043,25500,182.08,5099,182.08
0.1631697714328766,3137,-0.5438106656074524,0.0007,8,0.16015461087226868,5200,-58.20543670654297,26000,173.58,5199,173.58
0.0019052412826567888,3139,-0.6028181910514832,0.0007,8,0.011453433893620968,5300,-0.12861907482147217,26500,61.76,5299,61.76
0.011514192447066307,3139,-0.0845663920044899,0.0007,8,0.0008312128484249115,5400,-12.084417343139648,27000,26.91,5399,26.91
1979.349853515625,3140,-0.2303406447172165,0.0007,8,-8.02310562133789,5500,-0.0024840831756591797,27500,10.14,5499,10.14
3355.373046875,3140,-0.3759854733943939,0.0007,8,-13.747293472290039,5600,-0.13304007053375244,28000,10.5,5599,10.5
0.006941687315702438,3132,-0.511544406414032,0.0007,9,-0.02205793559551239,5700,-3.4172797203063965,28500,12.59,5699,12.59
0.020286882296204567,3133,-0.5448776483535767,0.0007,9,-0.02119120955467224,5800,-18.84958839416504,29000,17.85,5799,17.85
0.0014797777403146029,3133,-0.41580262780189514,0.0007,9,-0.011531203985214233,5900,-11763.6220703125,29500,21.81,5899,21.81
0.00014455740165431052,3133,-0.39733728766441345,0.0007,9,-0.004511549137532711,6000,0.36183494329452515,30000,25.12,5999,25.12
