time/fps,train/learning_rate,train/n_updates,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/policy_loss,train/entropy_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations
2111,0.0007,31799,0.994267463684082,583.54,0.03088510036468506,0.1144467145204544,-0.46694204211235046,508800,-126.36284761000003,241,31800
2111,0.0007,31899,3.1706628799438477,566.48,0.05188995599746704,-0.44808515906333923,-0.5163111686706543,510400,-127.38663864,241,31900
2112,0.0007,31999,6.148935317993164,572.32,0.18672144412994385,0.01629393920302391,-0.6583986878395081,512000,-126.71511387999999,242,32000
2112,0.0007,32099,5.256653308868408,561.26,0.6526507139205933,0.09985765814781189,-0.4615976810455322,513600,-124.90053379000001,243,32100
2113,0.0007,32199,1.325459599494934,550.17,0.7606624364852905,-0.10685012489557266,-0.6045119166374207,515200,-123.64819309,243,32200
2113,0.0007,32299,4.364205360412598,557.62,0.6213376522064209,0.2271401286125183,-0.46187907457351685,516800,-125.02846197,244,32300
2114,0.0007,32399,3.3804495334625244,555.56,0.7852635979652405,0.13742384314537048,-0.6708399653434753,518400,-125.98372078999996,245,32400
2114,0.0007,32499,0.2592577636241913,555.56,0.859835684299469,-0.21960943937301636,-0.46562090516090393,520000,-124.90991702999997,245,32500
2115,0.0007,32599,8.521438598632812,532.2,-0.20849525928497314,0.0573292039334774,-0.34553831815719604,521600,-124.33653256999997,246,32600
2115,0.0007,32699,6.2469987869262695,541.64,0.1915268898010254,-0.005154816433787346,-0.6304133534431458,523200,-124.02640874000002,247,32700
2115,0.0007,32799,8.990898132324219,531.75,0.11100411415100098,0.059807419776916504,-0.44206032156944275,524800,-125.86745450000001,248,32800
2116,0.0007,32899,11.752455711364746,537.85,0.3016160726547241,0.19178158044815063,-0.426944375038147,526400,-126.96288544000001,248,32900
2116,0.0007,32999,0.758009672164917,529.73,-0.19055676460266113,0.0852682963013649,-0.4225347936153412,528000,-127.61391908000002,249,33000
2117,0.0007,33099,0.44167715311050415,535.54,0.6452544927597046,-0.2903849482536316,-0.38905537128448486,529600,-126.69517100000002,250,33100
2117,0.0007,33199,8.883072853088379,522.63,-1.9391417503356934,-0.14185449481010437,-0.5636771321296692,531200,-128.60269678,250,33200
2117,0.0007,33299,1.290327787399292,522.26,0.7486135959625244,-0.048854533582925797,-0.47997647523880005,532800,-128.38655732,251,33300
