train/policy_loss,train/explained_variance,time/fps,train/entropy_loss,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,time/iterations,time/total_timesteps,train/n_updates,train/learning_rate
-0.541373074054718,0.38511645793914795,522,-0.4469621777534485,308,702.94,-0.9261108699999996,3.781618595123291,32200,161000,32199,0.0007
-1.4960426092147827,0.40691936016082764,522,-0.370057612657547,308,702.94,-0.9261108699999996,3.9565398693084717,32300,161500,32299,0.0007
-0.03803063556551933,0.6143913269042969,522,-0.826065182685852,310,707.63,-4.089867119999999,0.301592618227005,32400,162000,32399,0.0007
-0.10691549628973007,0.9753450751304626,522,-0.41048747301101685,310,707.63,-4.089867119999999,0.4881401062011719,32500,162500,32499,0.0007
-0.7577484846115112,0.602643609046936,522,-0.4480009078979492,312,713.69,-4.248921789999997,0.6521016955375671,32600,163000,32599,0.0007
0.5667489767074585,0.35056155920028687,522,-0.2960204482078552,312,713.69,-4.248921789999997,1.9328477382659912,32700,163500,32699,0.0007
0.070097416639328,0.07451832294464111,523,-0.422304630279541,313,716.03,-6.257756459999999,1.814544916152954,32800,164000,32799,0.0007
0.006579509470611811,0.9602748155593872,523,-0.5591503977775574,314,716.03,-6.257756459999999,0.10303809493780136,32900,164500,32899,0.0007
0.10016210377216339,0.7938889265060425,523,-0.5143705606460571,315,719.39,-8.73642999,0.33474597334861755,33000,165000,32999,0.0007
-0.13309209048748016,0.9100695848464966,523,-0.3785955309867859,316,718.35,-11.901141929999996,0.27406617999076843,33100,165500,33099,0.0007
0.02568182721734047,0.2620896100997925,524,-0.09452936053276062,316,718.35,-11.901141929999996,3.3408007621765137,33200,166000,33199,0.0007
-1.655694603919983,-0.24855709075927734,524,-0.8523159027099609,317,723.43,-15.06547673,5.476496696472168,33300,166500,33299,0.0007
-0.29452988505363464,0.7131814956665039,524,-0.36799299716949463,318,723.43,-15.06547673,3.6025688648223877,33400,167000,33399,0.0007
-0.3918699026107788,-0.011254310607910156,523,-0.44214901328086853,319,731.31,-15.15233735,5.939633369445801,33500,167500,33499,0.0007
0.019224047660827637,0.8004591464996338,522,-0.084261953830719,321,731.31,-15.15233735,2.991163969039917,33600,168000,33599,0.0007
2.2122035026550293,0.10039550065994263,522,-0.6783629655838013,322,735.9,-18.759009980000002,6.899441719055176,33700,168500,33699,0.0007
0.007865335792303085,0.9331032037734985,521,-0.31948137283325195,323,735.9,-18.759009980000002,0.2113819569349289,33800,169000,33799,0.0007
-0.6877753138542175,-0.3393235206604004,521,-0.5723352432250977,325,742.76,-19.304428670000004,1.6832548379898071,33900,169500,33899,0.0007
-0.05637294054031372,-0.1572049856185913,520,-0.6470640897750854,326,742.76,-19.304428670000004,0.17238165438175201,34000,170000,33999,0.0007
0.03165509179234505,0.9991321563720703,519,-0.5482502579689026,327,750.22,-19.534644450000005,0.012950274161994457,34100,170500,34099,0.0007
0.5090090036392212,-0.9471745491027832,519,-0.374124675989151,329,755.63,-20.460513830000004,4.184347152709961,34200,171000,34199,0.0007
0.9673274159431458,0.5502403974533081,519,-0.4820147156715393,329,755.63,-20.460513830000004,0.8374810218811035,34300,171500,34299,0.0007
0.14897878468036652,-1.1071012020111084,520,-0.28858205676078796,330,759.81,-24.020744450000006,3.2222447395324707,34400,172000,34399,0.0007
0.01630439981818199,0.6802448034286499,520,-0.19598117470741272,331,752.3,-26.793561370000003,0.2928580939769745,34500,172500,34499,0.0007
1.0341784954071045,-0.8282843828201294,519,-0.6858853101730347,333,752.3,-26.793561370000003,11.464895248413086,34600,173000,34599,0.0007
-2.112048387527466,-0.8805705308914185,518,-0.9329363107681274,334,757.04,-29.226604130000005,5.23322057723999,34700,173500,34699,0.0007
1.3725210428237915,-1.4868669509887695,518,-0.34404826164245605,335,757.09,-32.718471130000005,1.3772478103637695,34800,174000,34799,0.0007
