rollout/ep_len_mean,time/time_elapsed,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/value_loss,time/iterations,time/fps,train/policy_loss,train/entropy_loss,train/learning_rate
1775.3,347,12899,258000,9.67,0.7493754029273987,0.04465886577963829,12900,742,0.11334250122308731,-1.052451729774475,0.0007
1789.93,349,12999,260000,9.78,0.5108360052108765,0.09363094717264175,13000,743,-0.09825830161571503,-1.0594637393951416,0.0007
1809.02,352,13099,262000,10.04,0.7229568958282471,0.0435345433652401,13100,743,0.008001158945262432,-1.2330477237701416,0.0007
1817.21,354,13199,264000,10.11,0.284355103969574,0.04929246008396149,13200,743,0.026630520820617676,-0.6037451028823853,0.0007
1819.54,357,13299,266000,10.26,0.9301455616950989,0.012065992690622807,13300,744,0.02888728491961956,-1.0142523050308228,0.0007
1826.54,359,13399,268000,10.43,0.8671824336051941,0.010136621072888374,13400,744,0.03684654086828232,-1.2619068622589111,0.0007
1855.42,362,13499,270000,10.7,0.7624244689941406,0.032324086874723434,13500,744,0.03289179131388664,-0.8662495017051697,0.0007
1875.02,364,13599,272000,10.8,0.8957080245018005,0.01873411238193512,13600,745,0.00434874976053834,-1.0003422498703003,0.0007
1883.99,367,13699,274000,10.8,0.8096849918365479,0.035943079739809036,13700,745,-0.09511321038007736,-0.9810928702354431,0.0007
1876.5,369,13799,276000,10.71,0.9108468294143677,0.013000828213989735,13800,746,0.06632053107023239,-1.308397889137268,0.0007
1891.97,372,13899,278000,10.74,0.26182299852371216,0.07704605907201767,13900,746,0.06294021755456924,-0.912929356098175,0.0007
1889.61,374,13999,280000,10.66,-0.33487236499786377,0.04381747171282768,14000,747,-0.025327974930405617,-0.86158686876297,0.0007
1904.31,377,14099,282000,10.74,0.8336946368217468,0.013929110951721668,14100,747,-0.0037327499594539404,-1.1624473333358765,0.0007
1916.93,379,14199,284000,10.92,0.8957184553146362,0.0345001295208931,14200,747,-0.05406903848052025,-0.8692398071289062,0.0007
1911.48,382,14299,286000,10.79,0.8043241500854492,0.03450607880949974,14300,748,-0.07637983560562134,-0.7290284037590027,0.0007
1943.19,384,14399,288000,10.97,0.8380823135375977,0.09237857908010483,14400,748,-0.004713153932243586,-0.9141458868980408,0.0007
1960.21,387,14499,290000,11.05,0.7783337831497192,0.0606144554913044,14500,748,0.17277133464813232,-1.0830042362213135,0.0007
1987.92,389,14599,292000,11.35,0.8458453416824341,0.02630515955388546,14600,749,-0.11883493512868881,-1.1170223951339722,0.0007
2018.89,392,14699,294000,11.66,0.19887346029281616,0.06594035029411316,14700,749,0.10313216596841812,-1.0754899978637695,0.0007
2006.79,394,14799,296000,11.57,0.9185230731964111,0.014535270631313324,14800,749,0.024184534326195717,-1.2130295038223267,0.0007
2018.49,397,14899,298000,11.65,0.7338050603866577,0.04224912449717522,14900,750,-0.14750328660011292,-0.9315109252929688,0.0007
2016.86,399,14999,300000,11.64,0.8754203915596008,0.06572003662586212,15000,750,-0.23640309274196625,-1.2248579263687134,0.0007
2002.99,402,15099,302000,11.57,0.6925805807113647,0.08408147841691971,15100,751,0.12929478287696838,-1.0499616861343384,0.0007
2012.33,404,15199,304000,11.61,0.8237522840499878,0.037582602351903915,15200,751,0.06136816740036011,-1.1288459300994873,0.0007
1998.66,407,15299,306000,11.66,0.748394250869751,0.009813662618398666,15300,751,-0.013082637451589108,-1.3425037860870361,0.0007
