time/fps,train/learning_rate,time/episodes,train/n_updates,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,train/loss,rollout/ep_rew_mean,time/time_elapsed
1672,0.001,160,28671,834.35,0.01,114786,0.11849526315927505,43.85941871000001,68
1683,0.001,164,29548,829.44,0.01,118295,0.0666905865073204,45.810056379999985,70
1692,0.001,168,30273,818.43,0.01,121194,0.11310870200395584,49.38717064,71
1699,0.001,172,30965,808.62,0.01,123961,0.13299579918384552,61.32203935,72
1706,0.001,176,31556,794.21,0.01,126328,0.13270427286624908,68.23702448,74
1713,0.001,180,32327,807.18,0.01,129412,0.197515070438385,71.87801036,75
1719,0.001,184,32875,799.69,0.01,131602,0.13271504640579224,73.12067884,76
1726,0.001,188,33703,798.49,0.01,134914,0.17064526677131653,74.16002346,78
1736,0.001,192,34703,809.81,0.01,138914,0.049967799335718155,68.32791202,79
1743,0.001,196,35506,818.43,0.01,142128,0.3126315474510193,70.29766586000001,81
1750,0.001,200,36313,818.64,0.01,145353,0.5523983836174011,77.95168799999999,83
1755,0.001,204,36885,801.52,0.01,147641,0.13829539716243744,86.73836238,84
1759,0.001,208,37394,781.89,0.01,149678,0.7194868922233582,97.29522097999998,85
1763,0.001,212,37891,761.79,0.01,151668,0.945905864238739,99.74716549,86
1771,0.001,216,38891,761.79,0.01,155668,0.996017336845398,100.20451788,87
1777,0.001,220,39674,753.1,0.01,158799,0.1894790530204773,105.84339013,89
1782,0.001,224,40346,739.97,0.01,161486,0.12128731608390808,113.54220654,90
1788,0.001,228,41158,732.47,0.01,164736,0.7732934951782227,118.99119236,92
1794,0.001,232,41919,722.9,0.01,167779,0.12933135032653809,125.56789110000001,93
1800,0.001,236,42721,718.4,0.01,170985,0.07526504248380661,128.31281006999998,94
1804,0.001,240,43430,733.9,0.01,173824,0.13029061257839203,132.97473252999998,96
1778,0.001,244,44173,743.18,0.01,176795,0.16155873239040375,135.34350675,99
1752,0.001,248,44933,740.96,0.01,179836,0.11878908425569534,134.64702370999998,102
1755,0.001,252,45484,739.94,0.01,182040,1.4965524673461914,137.69328351000001,103
1760,0.001,256,46190,734.14,0.01,184862,0.13890297710895538,142.64960766000002,105
1764,0.001,260,46867,727.84,0.01,187570,0.05485871434211731,145.12976212,106
1767,0.001,264,47437,715.55,0.01,189850,0.9339655637741089,152.12198747000002,107
1771,0.001,268,47971,707.91,0.01,191985,1.5270724296569824,159.28136504,108
1769,0.001,272,48544,703.17,0.01,194278,0.0652407556772232,158.96175189,109
1773,0.001,276,49104,701.91,0.01,196519,0.21279411017894745,159.11702352000003,110
1776,0.001,280,49737,696.39,0.01,199051,0.11452608555555344,160.71518297,112
1780,0.001,284,50347,698.89,0.01,201491,0.07252152264118195,163.3266848,113
1782,0.001,288,50755,682.09,0.01,203123,2.074348211288452,163.27727889,113
