time/fps,train/learning_rate,time/episodes,train/n_updates,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,train/loss,rollout/ep_rew_mean,time/time_elapsed
1550,0.001,1324,207907,551.79,0.01,831732,1.261926531791687,163.63192058,536
1551,0.001,1328,208406,549.93,0.01,833725,0.7770549654960632,158.79400250000003,537
1552,0.001,1332,209019,558.97,0.01,836177,2.0700953006744385,160.99255907999998,538
1553,0.001,1336,209459,552.43,0.01,837937,0.18646660447120667,156.33652403,539
1553,0.001,1340,209729,536.65,0.01,839017,1.1586955785751343,159.44811658999998,539
1554,0.001,1344,209969,526.19,0.01,839978,0.8444914221763611,150.12665872,540
1554,0.001,1348,210307,509.6,0.01,841329,0.14526793360710144,151.03166288,541
1556,0.001,1352,210880,510.07,0.01,843623,0.15874436497688293,147.78871249,542
1557,0.001,1356,211363,515.61,0.01,845554,2.2528557777404785,149.51146157000002,543
1557,0.001,1360,211695,509.54,0.01,846883,0.07408078014850616,152.66906617000004,543
1558,0.001,1364,212255,520.03,0.01,849123,0.5666181445121765,159.54924921,544
1559,0.001,1368,212572,517.79,0.01,850390,0.21248145401477814,157.68399436,545
1560,0.001,1372,212969,515.8,0.01,851980,0.24529330432415009,155.87293008,546
1560,0.001,1376,213327,508.41,0.01,853412,0.3825526833534241,154.34308782999997,546
1561,0.001,1380,213743,494.63,0.01,855076,0.09238646924495697,152.31656196,547
1562,0.001,1384,214214,480.99,0.01,856959,0.23524963855743408,157.28698682,548
1562,0.001,1388,214629,470.49,0.01,858617,0.07312034070491791,161.39247170000002,549
1559,0.001,1392,215047,461.12,0.01,860289,0.35038477182388306,168.43385489,551
1557,0.001,1396,215497,453.56,0.01,862091,0.08592182397842407,170.04328635,553
1555,0.001,1400,215876,452.78,0.01,863607,0.13273222744464874,167.24464754000005,555
1553,0.001,1404,216238,450.11,0.01,865055,0.5511878728866577,167.69778928,556
1550,0.001,1408,216727,451.05,0.01,867010,0.3474428355693817,164.28143744000002,559
1548,0.001,1412,217272,449.18,0.01,869190,0.7203510403633118,161.88405884999997,561
1546,0.001,1416,217637,444.24,0.01,870651,0.5035668015480042,155.80667662,563
1543,0.001,1420,218220,441.31,0.01,872984,1.3297725915908813,154.52468773,565
1543,0.001,1424,218709,432.08,0.01,874940,0.6632558107376099,157.21622395000003,566
1543,0.001,1428,219160,430.16,0.01,876741,0.24623288214206696,157.37269599,567
1541,0.001,1432,219696,427.08,0.01,878885,0.2562388777732849,158.79296123,570
1538,0.001,1436,220313,434.16,0.01,881353,0.1253429800271988,162.18217534,572
1535,0.001,1440,220813,443.39,0.01,883356,0.17822381854057312,165.19611106,575
1536,0.001,1444,221301,453.28,0.01,885306,0.25920912623405457,174.2654228,576
1537,0.001,1448,221797,459.63,0.01,887292,0.4516184329986572,174.75309955,577
1538,0.001,1452,222186,452.22,0.01,888845,0.11936789751052856,173.57134172000002,577
1539,0.001,1456,222658,451.79,0.01,890733,0.742699384689331,170.16183294,578
1539,0.001,1460,223018,452.9,0.01,892173,1.0869641304016113,173.46798739000005,579
1540,0.001,1464,223444,447.54,0.01,893877,0.24155187606811523,169.32884447,580
1541,0.001,1468,223836,450.55,0.01,895445,2.268786907196045,168.49862070999998,581
1542,0.001,1472,224396,457.07,0.01,897687,0.9741411209106445,164.65476975,582
1542,0.001,1476,224651,452.94,0.01,898706,2.877333164215088,158.37647660000002,582
1543,0.001,1480,225178,457.39,0.01,900815,0.5062682628631592,154.6898581,583
1539,0.001,1484,225968,470.14,0.01,903973,0.5886391401290894,149.51706052,587
1537,0.001,1488,226407,471.13,0.01,905730,0.8104038834571838,147.25850823000002,589
1538,0.001,1492,226964,476.69,0.01,907958,0.29622790217399597,147.09077958,590
1539,0.001,1496,227416,476.74,0.01,909765,0.523081362247467,145.92314961000002,590
1540,0.001,1500,228023,485.88,0.01,912195,0.14526444673538208,141.74435415000002,592
1541,0.001,1504,228588,493.99,0.01,914454,0.16537468135356903,145.88870061,593
1542,0.001,1508,229308,503.26,0.01,917336,0.19117146730422974,146.11308404,594
1544,0.001,1512,230084,512.47,0.01,920437,0.9481657147407532,146.26924315999997,596
1544,0.001,1516,230559,516.88,0.01,922339,0.11488957703113556,145.50830476000002,596
1545,0.001,1520,231115,515.79,0.01,924563,0.2670687735080719,146.53090948,598
1547,0.001,1524,232004,531.77,0.01,928117,0.24627479910850525,137.51461174999997,599
1549,0.001,1528,232945,551.43,0.01,931884,0.26511332392692566,133.15062526,601
1550,0.001,1532,233733,561.49,0.01,935034,0.37427854537963867,129.88918573,603
1551,0.001,1536,234374,562.46,0.01,937599,0.20226338505744934,122.21384618,604
1553,0.001,1540,235258,577.78,0.01,941134,7.829949378967285,113.89208672,605
1554,0.001,1544,236214,596.52,0.01,944958,0.17958489060401917,106.37616949,607
1555,0.001,1548,236833,601.41,0.01,947433,0.8378095030784607,105.29624874000001,608
1557,0.001,1552,237587,616.06,0.01,950451,1.0600473880767822,106.12713206999999,610
1558,0.001,1556,238251,623.72,0.01,953105,0.30653706192970276,110.04777016999998,611
1559,0.001,1560,239123,644.23,0.01,956596,0.1074221134185791,104.38871621999999,613
1561,0.001,1564,239881,657.5,0.01,959627,0.06876563280820847,105.0390042,614
1562,0.001,1568,240866,681.23,0.01,963568,0.0522470697760582,104.78013308000001,616
1564,0.001,1572,241699,692.12,0.01,966899,1.4311412572860718,109.68211222,618
1565,0.001,1576,242353,708.1,0.01,969516,0.955490231513977,114.15196711,619
1566,0.001,1580,242999,712.83,0.01,972098,0.5842003226280212,117.05907985,620
1567,0.001,1584,243545,703.08,0.01,974281,0.62196946144104,111.34263347999996,621
1568,0.001,1588,244309,716.08,0.01,977338,3.584559917449951,107.80897781,623
1569,0.001,1592,244980,720.64,0.01,980022,0.2182396948337555,104.73102776999998,624
1571,0.001,1596,245980,742.57,0.01,984022,0.2769617736339569,102.54670239,626
1572,0.001,1600,246856,753.31,0.01,987526,0.10971836745738983,104.48993728,628
1573,0.001,1604,247856,770.72,0.01,991526,0.05881546437740326,97.95879802999998,630
1569,0.001,1608,248805,779.86,0.01,995322,0.0841432586312294,95.78258452999998,634
1565,0.001,1612,249664,783.23,0.01,998760,0.9868289232254028,92.86203343999998,638
